creator_id,id,title,timestamp,analysis
@VanessaWingårdh,QECHcQyQhN0,How Your Tax Dollars Built Palantir's Global Surveillance Empire,1757445624.08906,"{""overall_sentiment_distribution"": {""positive"": 5, ""neutral"": 3, ""negative"": 22}, ""dominant_emotions"": [""anger"", ""fear"", ""sarcasm""], ""toxic_comment_count"": 10, ""controversy_score"": 0.85, ""key_topics"": [""surveillance and control"", ""capitalism and government"", ""war and violence"", ""censorship and bias"", ""nationalism and enemies""], ""frequent_bias_or_group_mentions"": [""jews"", ""Palantir"", ""CEO"", ""government"", ""China"", ""Russia"", ""Republicans"", ""Democrats""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""Portuguese""], ""spam_comment_count"": 2, ""summary"": ""The comment section is highly polarized and negative, dominated by themes of distrust in authority, surveillance, and political corruption. There is significant toxicity, including anti-Semitic remarks and strong criticism of figures like Alex Karp and Peter Thiel. Sarcasm and conspiracy theories are prevalent, with a high level of controversy and some spam."", ""title"": ""How Your Tax Dollars Built Palantir's Global Surveillance Empire"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,hJ2tqs_vksc,The Real Reason Your Power Bill Doubled (It's Not Inflation),1757445638.989036,"{""overall_sentiment_distribution"": {""positive"": 1, ""neutral"": 0, ""negative"": 44}, ""dominant_emotions"": [""anger"", ""frustration"", ""sarcasm""], ""toxic_comment_count"": 8, ""controversy_score"": 0.85, ""key_topics"": [""energy bills and costs"", ""data centers and AI"", ""corruption in government and corporations"", ""inflation and economic issues"", ""social and political activism""], ""frequent_bias_or_group_mentions"": [""Californians"", ""Zionists"", ""billionaires"", ""politicians"", ""foreign workers""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is overwhelmingly negative and angry, with strong emotions directed at high energy costs, data centers, AI, and perceived corruption. There is significant controversy and toxicity, with calls for action and sarcastic remarks, but no spam detected."", ""title"": ""The Real Reason Your Power Bill Doubled (It's Not Inflation)"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,cyMWig4AR4k,AI Price Gouging: Corporate Greed Is Out of Control,1757445652.358145,"{""overall_sentiment_distribution"": {""positive"": 3, ""neutral"": 2, ""negative"": 25}, ""dominant_emotions"": [""anger"", ""frustration"", ""sarcasm""], ""toxic_comment_count"": 8, ""controversy_score"": 0.85, ""key_topics"": [""corporate greed"", ""dynamic pricing"", ""capitalism"", ""government regulation"", ""boycotts""], ""frequent_bias_or_group_mentions"": [""corporations"", ""government"", ""Trump"", ""Americans"", ""capitalism""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly negative and emotionally charged, dominated by anger and frustration over corporate practices, dynamic pricing, and perceived government inaction. There is significant controversy and toxicity, with strong opinions on economic systems and calls for boycotts or systemic change."", ""title"": ""AI Price Gouging: Corporate Greed Is Out of Control"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,J5ZmLvy_Jfg,"The Internet is Dying: AI, Bots, and The End of Human Content",1757445663.479306,"{""overall_sentiment_distribution"": {""positive"": 3, ""neutral"": 0, ""negative"": 0}, ""dominant_emotions"": [""appreciation"", ""reflection"", ""joy""], ""toxic_comment_count"": 0, ""controversy_score"": 0.0, ""key_topics"": [""internet nostalgia"", ""corporate influence"", ""content creation feedback"", ""personal quirks""], ""frequent_bias_or_group_mentions"": [], ""sarcasm_detected"": false, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is overwhelmingly positive, with users expressing appreciation for the content and feedback, reflecting on personal experiences and the state of the internet, without any toxicity or controversy."", ""title"": ""The Internet is Dying: AI, Bots, and The End of Human Content"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,KJFouW0Xh2E,Real or AI? The Internet Is Now Impossible to Trust,1757445676.982903,"{""overall_sentiment_distribution"": {""positive"": 15, ""neutral"": 10, ""negative"": 25}, ""dominant_emotions"": [""concern"", ""skepticism"", ""frustration""], ""toxic_comment_count"": 5, ""controversy_score"": 0.8, ""key_topics"": [""AI ethics and risks"", ""trust in digital content"", ""social media impact""], ""frequent_bias_or_group_mentions"": [""AI companies"", ""YouTube"", ""Black Rock"", ""Vanguard""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly polarized with strong negative sentiment, dominated by concerns over AI's societal impact, trust issues in digital media, and calls for regulation. There is notable toxicity and sarcasm, reflecting deep skepticism and controversy around technological advancements."", ""title"": ""Real or AI? The Internet Is Now Impossible to Trust"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,1LL34dmB-bU,The ChatGPT CEO's Web of Lies,1757445690.585372,"{""overall_sentiment_distribution"": {""positive"": 2, ""neutral"": 3, ""negative"": 35}, ""dominant_emotions"": [""anger"", ""sarcasm"", ""contempt""], ""toxic_comment_count"": 18, ""controversy_score"": 0.85, ""key_topics"": [""Sam Altman's character and wealth"", ""AI ethics and impact"", ""government and corporate corruption"", ""hypocrisy and deception""], ""frequent_bias_or_group_mentions"": [""Sam Altman"", ""OpenAI"", ""government agencies (DOD, CIA, NSA)"", ""billionaires"", ""poor people""], ""sarcasm_detected"": true, ""languages_detected"": [""English"", ""German""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly negative and polarized, with strong criticism of Sam Altman and OpenAI, accusations of hypocrisy and psychopathy, and concerns about AI's societal impact. There is significant toxicity and controversy, with sarcasm and emotional intensity prevalent throughout."", ""title"": ""The ChatGPT CEO's Web of Lies"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,6aVRQDKJ9Dg,ChatGPT Brain Rot Is Real (And Getting Worse),1757445703.525109,"{""overall_sentiment_distribution"": {""positive"": 5, ""neutral"": 10, ""negative"": 15}, ""dominant_emotions"": [""concern"", ""skepticism"", ""frustration""], ""toxic_comment_count"": 3, ""controversy_score"": 0.7, ""key_topics"": [""AI and technology impact"", ""education and learning"", ""mental health and dependency""], ""frequent_bias_or_group_mentions"": [""NASA"", ""younger generations"", ""scientists""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 1, ""summary"": ""The comment section reflects a mix of skepticism and concern about AI and technology, with discussions on education, mental health, and societal impacts. There is notable polarization, some toxicity, and minimal spam."", ""title"": ""ChatGPT Brain Rot Is Real (And Getting Worse)"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,qfK6H714moc,ChatGPT Religion: The Disturbing AI Cult,1757445715.1683671,"{""overall_sentiment_distribution"": {""positive"": 1, ""neutral"": 0, ""negative"": 0}, ""dominant_emotions"": [""gratitude"", ""concern"", ""thoughtfulness""], ""toxic_comment_count"": 0, ""controversy_score"": 0.1, ""key_topics"": [""AI and human interaction"", ""technology's societal impact"", ""critical thinking""], ""frequent_bias_or_group_mentions"": [""AI developers"", ""humanity""], ""sarcasm_detected"": false, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is overwhelmingly positive and thoughtful, with a focus on concerns about technology's effects on society and human connections, showing minimal controversy and no toxicity or spam."", ""title"": ""ChatGPT Religion: The Disturbing AI Cult"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,6yR5isyYhTM,Man Proposes to AI Chatbot… Is this Cheating?,1757445730.075953,"{""overall_sentiment_distribution"": {""positive"": 3, ""neutral"": 5, ""negative"": 32}, ""dominant_emotions"": [""anger"", ""disgust"", ""contempt"", ""sadness"", ""sarcasm""], ""toxic_comment_count"": 8, ""controversy_score"": 0.85, ""key_topics"": [""AI relationships"", ""cheating in relationships"", ""mental health"", ""media manipulation"", ""loneliness"", ""narcissism""], ""frequent_bias_or_group_mentions"": [""AI"", ""humans"", ""Vanessa"", ""OpenAI"", ""narcissists"", ""wives""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly polarized and negative, with strong emotions of anger and disgust directed at AI relationships and perceived media manipulation. There is significant controversy and toxicity, with discussions on mental health, loneliness, and the ethics of AI companions."", ""title"": ""Man Proposes to AI Chatbot\u2026 Is this Cheating?"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
@VanessaWingårdh,JYpLWjbMGzc,Meta AI Made Private Chats Public and It’s Bad,1757445743.1517,"{""overall_sentiment_distribution"": {""positive"": 8, ""neutral"": 12, ""negative"": 15}, ""dominant_emotions"": [""sarcasm"", ""concern"", ""amusement""], ""toxic_comment_count"": 3, ""controversy_score"": 0.7, ""key_topics"": [""AI ethics and misuse"", ""privacy concerns"", ""social media and technology critique""], ""frequent_bias_or_group_mentions"": [""Meta AI"", ""Mark Zuckerberg"", ""government and corporations""], ""sarcasm_detected"": true, ""languages_detected"": [""English""], ""spam_comment_count"": 0, ""summary"": ""The comment section is highly polarized with a mix of sarcasm, concern, and humor, focusing on AI's ethical implications, privacy issues, and societal impacts. There is notable toxicity and controversy, but no spam detected."", ""title"": ""Meta AI Made Private Chats Public and It\u2019s Bad"", ""uploader_id"": ""@VanessaWing\u00e5rdh""}"
